full_name,position_short_name,org_name,org_country
Shahmar Movsumov,Chief Executive Officer,State Oil Fund of the Republic of Azerbaijan ,Azerbaijan
Simon Galpin,Managing Director Development Board,Bahrain Economic,Bahrain
Khalid Al Rumaihi,Chief Executive,Bahrain Economic Development Board,Bahrain
Abdulaziz Al-Helaissi,Group Chief Executive Officer (GIB),Gulf International Bank BSC,Bahrain
Mohammed Bin Mahfoodh Bin Saad Alardhi,Executive Chairman,Investcorp Bank BSC,Bahrain
Rishi Kapoor,Co-Chief Executive Officer,Investcorp Bank BSC,Bahrain
H.H. Sheikh Salman Al Khalifa,Honorary Chairman,The Bahrain Petroleum Company BSC,Bahrain
Maliha M. Quadir,Founding Managing Director,Shohoj Limited,Bangladesh
Jan Suykens,Chairman of the Executive Committee,Ackermans & van Haaren NV,Belgium
Jacques Vandermeiren,Chief Executive Officer,Antwerp Port Authority,Belgium
Geert Van Poelvoorde,"Chief Executive Officer, Flat Products and Purchasing, Europe",ArcelorMittal,Belgium
Francois Faelli,"Partner and Global Head, Consumer Goods Practice",Bain & Company Inc.,Belgium
Frank Van Lierde,"President, Food Ingredients and Bioindustrial Enterprise",Cargill,Belgium
Sebastian Vos,"Partner; Chair, Global Public Policy Practice",Covington,Belgium
David Edwards,General Secretary,Education International,Belgium
Sylvain Dhenin,"Managing Partner, Western Europe and Brussels",Heidrick & Struggles,Belgium
Sharan Burrow,General Secretary,International Trade Union Confederation ,Belgium
Florian Eder,"Managing Editor, Europe",Politico,Belgium
Dominique Leroy,Chief Executive Officer,Proximus,Belgium
Duco Sickinghe,Chairman of the Supervisory Board,Royal KPN NV,Belgium
David Henry Doyle,"Head, Government Affairs and Public Policy, Europe, Middle East and Africa",S&P Global,Belgium
Gottfried Leibbrandt,Chief Executive Officer,SWIFT SCRL,Belgium
Yawar Shah,Chairman of the Board of Directors,SWIFT SCRL,Belgium
Thomas Leysen,Chairman,Umicore,Belgium
Penelope Naas,"Senior Vice-President, International Public Affairs and Sustainability",UPS,Belgium
Kevin O'Donnell,President and Chief Executive Officer,RenaissanceRe Holdings Ltd,Bermuda
Fernando Honorato Barbosa,Chief Economist,Banco Bradesco SA,Brazil
Luiz Carlos Trabuco Cappi,Chairman,Banco Bradesco SA,Brazil
Octavio de Lazari Junior Jr,Chief Executive Officer,Banco Bradesco SA,Brazil
Mauricio Minas,Member of the Board and Executive Vice- President,Banco Bradesco SA,Brazil
Glaucimar Peticov,Group Managing Director,Banco Bradesco SA,Brazil
André Esteves,Senior Partner,Banco BTG Pactual SA,Brazil
Thalita Gelenske Cunha,Founder and Chief Executive Officer,Blend Edu,Brazil
Pedro Jatobá,"Superintendent, International Area",Centrais Elétricas Brasileiras SA - Eletrobras,Brazil
Jackson Madeiros de Farias Schneider,"Chief Executive Officer, Defence and Security",EMBRAER SA,Brazil
Paulo Cesar de Souza e Silva,Chief Executive Officer,EMBRAER SA,Brazil
Bernardo Gradin,Chief Executive Officer,GranBio Investimentos SA,Brazil
Ilona Szabó de Carvalho,Executive Director,Igarapé Institute,Brazil
Robert Muggah,Director,Igarapé Institute,Brazil
Caio David,Chief Executive Officer,Itaú BBA,Brazil
Christian Egan,"Head, Global Markets and Treasury",Itaú BBA,Brazil
Candido Botelho Bracher,Chief Executive Officer,Itaú Unibanco SA,Brazil
Ricardo Marino,Executive Vice-President and Member of the Board of Directors,Itaú Unibanco SA,Brazil
Michael Rubinoff,Head of Private Equity,J. Safra Group,Brazil
Mauricio Adade,"President, Latin America and Global Malnutrition Partnerships",Royal DSM,Brazil
Fabio Schvartsman,Chief Executive Officer,Vale SA,Brazil
Marcio Senne de Moraes,"Global Director, External Affairs",Vale SA,Brazil
Ivan Krastev,Chairman,Centre for Liberal Strategies,Bulgaria
Tihomir D. Kamenov,Founder and Chairman,Commercial League Healthcare & Insurance Group,Bulgaria
Carol Cruickshank,"Partner, Americas Leadership",A.T. Kearney,Canada
John M. Beck,Executive Chairman,Aecon Construction Group Inc.,Canada
Ricken Patel,Founder and Chief Executive Officer,Avaaz.org,Canada
Kevin Lynch,Vice-Chairman,Bank of Montreal,Canada
Darryl White,Chief Executive Officer,BMO Financial Group,Canada
Michael Sabia,President and Chief Executive Officer,Caisse de dépôt et placement du Québec,Canada
Victor Dodig,President and Chief Executive Officer,Canadian Imperial Bank of Commerce ,Canada
Mark Machin,President and Chief Executive Officer,CPP Investment Board ,Canada
Frank Sobey,Chairman,Crombie REIT,Canada
Janet Longmore,Founder and Chief Executive Officer,Digital Opportunity Trust ,Canada
Gabriel De Alba,Chairman,Frontera Energy,Canada
Brent Bergeron,"Executive Vice-President, Corporate Affairs and Sustainability",Goldcorp Inc.,Canada
David Garofalo,President and Chief Executive Officer,Goldcorp Inc.,Canada
Brandt C. Louie,Chairman and Chief Executive Officer,H. Y. Louie Co. Limited,Canada
Eric Martel,Chief Executive Officer,Hydro Québec,Canada
Pierre Gabriel Côté,President and Chief Executive Officer,Investissement Québec,Canada
Bill Thomas,Global Chairman,KPMG,Canada
Roy Gori,President and Chief Executive Officer,Manulife Financial,Canada
Peter Wilkinson,Global Head of Regulatory and Public Affairs,Manulife Financial,Canada
Chuck Magro,President and Chief Executive Officer,Nutrien Ltd,Canada
Michael Latimer,Chief Executive Officer,OMERS Administration Corporation,Canada
Ron Mock,President and Chief Executive Officer,Ontario Teachers' Pension Plan,Canada
Gordon Davies,"Executive Vice-President; Chief Legal Officer; Head, Corporate Development",OpenText Corporation,Canada
Paul Thomas Jenkins,Chair of the Board,OpenText Corporation,Canada
Ross Beaty,Chairman,Pan American Silver Corp.,Canada
David McKay,President and Chief Executive Officer,RBC ,Canada
John Stackhouse,Senior Vice-President,RBC ,Canada
Stephen J. Adler,Editor-in-Chief,Reuters,Canada
Axel Threlfall,Editor-at-Large,Reuters,Canada
Ignacio Deschamps,"Group Head, International Banking and Digital Transformation",Scotiabank,Canada
Brian J. Porter,President and Chief Executive Officer,Scotiabank,Canada
Neil Bruce,President and Chief Executive Officer,SNC-Lavalin Group Inc.,Canada
Ian Leslie Edwards,"President, Infrastructure",SNC-Lavalin Group Inc.,Canada
Eric Axford,Executive Vice-President; Chief Sustainability Officer,Suncor Energy Inc.,Canada
Mark Little,President and Chief Operating Officer,Suncor Energy Inc.,Canada
Robert Dorrance,"Chairman, Chief Executive Officer and President, TD Securities",TD Bank Group,Canada
Bharat Masrani,President and Chief Executive Officer,TD Bank Group,Canada
Dominic Barton,Chairman,Teck Resources Limited,Canada
Don Lindsay,President and Chief Executive Officer,Teck Resources Limited,Canada
Marcia M. Smith,"Senior Vice-President, Sustainability and External Affairs",Teck Resources Limited,Canada
David Walmsley,Editor-in-Chief,The Globe and Mail,Canada
Kim Samuel,"Chair and President, Samuel Family Foundation; Director",The Samuel Group,Canada
Brian Peccarelli,"Chief Operating Officer, Customer Markets",Thomson Reuters,Canada
James C. Smith,President and Chief Executive Officer,Thomson Reuters,Canada
Maximillian Seunik,Deputy Executive Director,Young Diplomats of Canada,Canada
Ivan Arriagada Herrera,Chief Executive Officer,Antofagasta Minerals Plc,Chile
Jean-Paul Luksic,Chairman,Antofagasta Minerals Plc,Chile
Andrónico Luksic,"Vice-President, Corporate Development",Antofagasta Minerals Plc,Chile
Bernardo Larrain Matte,Director,Grupo Matte,Chile
Francisco Perez Mackenna,Chief Executive Officer,Quiñenco SA,Chile
Felipe Bayón,Chief Executive Officer,Ecopetrol SA,Colombia
Jaime Caballero Uribe,Chief Financial Officer,Ecopetrol SA,Colombia
Juan David Aristizabal,Founder,Los Zúper,Colombia
Carlos Julio Ardila,Chief Executive Officer,Organizacion Ardila Lulle,Colombia
Flavia Santoro Trujillo,President,ProColombia,Colombia
Jiri Smejc,Chairman of the Board of Directors and Chief Executive Officer,HomeCredit Group,Czech Republic
Jean-Pascal Duvieusart,Member of the Board,PPF Group,Czech Republic
Claus V. Hemmingsen,Vice-Chief Executive Officer,A.P. Møller-Maersk A/S,Denmark
Soren Skou,Chief Executive Officer,A.P. Møller-Maersk A/S,Denmark
Flemming Besenbacher,Chairman of the Supervisory Board,Carlsberg A/S,Denmark
Cees 't Hart,Chief Executive Officer,Carlsberg A/S,Denmark
Jesper Vaagelund Christensen,Executive Vice-President and Chief Financial Officer,Danfoss A/S,Denmark
Kim Fausing,President and Chief Executive Officer,Danfoss A/S,Denmark
Kasim Kutay,Chief Executive Officer,Novo Holdings,Denmark
Lars Fruergaard Jorgensen,President and Chief Executive Officer,Novo Nordisk A/S,Denmark
Camilla Sylvest,"Executive Vice-President, Commercial Strategy and Corporate Affairs",Novo Nordisk A/S,Denmark
Birgitte Nauntofte,Chief Executive Officer,Novo Nordisk Foundation,Denmark
Lars Rebien Sorensen,Chairman of the Board of Directors,Novo Nordisk Foundation,Denmark
Thomas Thune Andersen,Chairman of the Board of Directors,Ørsted,Denmark
Henrik Poulsen,Chief Executive Officer,Ørsted,Denmark
Per Christensen,Chairman of the Board of Directors,PensionDanmark,Denmark
Torben Möger Pedersen,Chief Executive Officer,PensionDanmark,Denmark
Henrik Burkal,Chief Executive Officer,REMA 1000 Denmark,Denmark
Jens Martin Skibsted,Partner,Skibsted Ideation Aps,Denmark
John Goodwin,Chief Executive Officer,The LEGO Foundation,Denmark
Niels B. Christiansen,President and Chief Executive Officer,The LEGO Group A/S,Denmark
Jørgen Vig Knudstorp,Chairman,The LEGO Group A/S,Denmark
M. Shafik Gabr,Chairman and Managing Director,ARTOC Group for Investment and Development,Egypt
Mostafa Amin,Co-Founder and Chief Executive Officer,Breadfast,Egypt
Riad Armanious,Chief Executive Officer,Eva Pharma,Egypt
Ahmed Heikal,Chairman and Chief Executive Officer,Qalaa Holdings SAE,Egypt
Hisham El-Khazindar,Co-Founder and Managing Director,Qalaa Holdings SAE,Egypt
Karim El Chiaty,Vice-Chairman,Travco Group International Holding SAE,Egypt
Pekka Lundmark,President and Chief Executive Officer,Fortum Corporation,Finland
Rajeev Suri,President and Chief Executive Officer,Nokia Corporation,Finland
Xavier Mesnard,"Lead Partner, Strategic Operations Practice",A.T. Kearney Inc.,France
Benoit Potier,Chairman and Chief Executive Officer,Air Liquide SA,France
Guillaume Faury,"President, Commercial Aircraft",Airbus Group,France
Ignacio Garcia Alves,Chairman and Chief Executive Officer,Arthur D. Little,France
Thomas Buberl,Chief Executive Officer,AXA SA,France
Benoît Claveranne,"Chief Executive Officer, International and New Markets; Member of the Group Management Committee",AXA SA,France
Hedwige Chevrillon,Editorialist,BFM Business,France
Pascal Cagni,Chairman of the Board and Ambassador for International Investment,BUSINESS FRANCE,France
Bernard Charlès,Vice-Chairman and Chief Executive Officer,Dassault Systèmes SE,France
Florence Verzelen,"Executive Vice-President, Industry Solutions, Field Marketing, Global Affairs",Dassault Systèmes SE,France
Michael de Lagarde,Chief Executive Officer,Delair,France
Jean-Pierre Clamadieu,Chairman of the Board,ENGIE Group,France
Judith Hartmann,Executive Vice-President; Chief Financial Officer,ENGIE Group,France
Isabelle Kocher,Chief Executive Officer,ENGIE Group,France
Virginie Morgon,Chief Executive Officer,Eurazeo SE,France
Jean Todt,President,Fédération Internationale de l'Automobile ,France
Jérôme Pécresse,President and Chief Executive Officer,GE Renewable Energy,France
Carlo D'Asaro Biondo,"President, Partnerships, Europe, Middle East and Africa",Google,France
Thierry Bollore,Deputy Chief Executive Officer,Groupe Renault,France
Carlos Ghosn,Chairman of the Board of Directors,Groupe Renault,France
Subramanian Rangan,The Abu Dhabi Crown Prince Court Endowed Chair in Societal Progress,INSEAD,France
Debbie Stothard,Secretary-General,International Federation for Human Rights ,France
Jean-Sébastien Decaux,Member of the Executive Board,JCDecaux SA,France
Michele Lamarche,"Global Co-Head, Government Advisory",Lazard,France
Matthieu Pigasse,Chief Executive Officer,Lazard,France
Fabrice Node- Langlois,"Editor-in-Chief, International Economics",Le Figaro,France
Marie de Vergès,International Economics Editor,Le Monde,France
Nicolas Barré,Editor-in-Chief,Les Echos,France
Alain Roumilhac,President,ManpowerGroup,France
Thierry Déau,Chief Executive Officer,Meridiam,France
Jean-Philippe Courtois,"President, Global Sales, Marketing and Operations; Executive Vice-President",Microsoft Corporation,France
Jean Raby,"Chief Executive Officer, Natixis Investment Managers",Natixis,France
Francois Riahi,Chief Executive Officer,Natixis,France
Helmut Reisinger,"Chief Executive Officer, Orange Business Services",Orange Group,France
Fabrice Brégier,"President, France",Palantir Technologies,France
Maurice Lévy,Chairman of the Supervisory Board,Publicis Groupe,France
Arthur Sadoun,Chairman and Chief Executive Officer,Publicis Groupe,France
Véronique Weill,General Manager,Publicis Groupe,France
Ashwani Gupta,"Alliance Senior Vice-President, LCV Business",Renault-Nissan-Mitsubishi,France
Hadi Zablit,"Alliance Senior Vice-President, Business Development",Renault-Nissan-Mitsubishi,France
David Loew,"Executive Vice-President; Head, Sanofi Pasteur",Sanofi,France
Kathleen Tregoning,"Executive Vice-President, External Affairs",Sanofi,France
Sandrine de Guio,"Global Vice-President; Head, Private Office of the Chief Executive Officer, External Strategic Affairs",Schneider Electric,France
Jean-Pascal Tricoire,Chairman and Chief Executive Officer,Schneider Electric,France
Frédéric Oudéa,Chief Executive Officer,Société Générale,France
Christophe Catoir,"Regional Head, France; Member of the Executive Committee",The Adecco Group,France
Vincent Granier,Senior Adviser to the Chief Executive Officer,Total,France
Patrick Pouyanné,Chairman of the Board and Chief Executive Officer,Total,France
Stéphane Bacquaert,"Managing Director and Chief Executive Officer, Africa",Wendel,France
André François- Poncet,Group Chief Executive Officer,Wendel,France
Bernard Gautier,Group Deputy Chief Executive Officer,Wendel,France
George Bachiashvili,Chief Executive Officer,Georgian Co-Investment Fund,Georgia
Kasper Rorsted,Chief Executive Officer,Adidas AG,Germany
Dirk Carsten Hoke,Chief Executive Officer,Airbus Defence and Space GmbH,Germany
Peter Weckesser,Digital Transformation Officer,Airbus Defence and Space GmbH,Germany
Sergio Balbinot,Member of the Board of Management,Allianz SE,Germany
Oliver Bäte,Chief Executive Officer,Allianz SE,Germany
Jacqueline Hunt,"Member of the Board of Management, Asset Management, US Life Insurance",Allianz SE,Germany
Christof Mascher,Chief Operating Officer,Allianz SE,Germany
Iván de la Sota,Member of the Executive Board,Allianz SE,Germany
Lisa Witter,Co-Founder and Executive Chairman,Apolitical,Germany
Frank Schulz,"Global Vice-President, Government Relations",ArcelorMittal,Germany
Abraham Schot,Chief Executive Officer,AUDI AG,Germany
Mathias Döpfner,Chief Executive Officer and Chairman,Axel Springer SE,Germany
Martin Brudermüller,Chairman of the Board of Executive Directors and Chief Technology Officer,BASF SE,Germany
Hans-Ulrich Engel,Member of the Board and Chief Financial Officer,BASF SE,Germany
Werner Baumann,Chairman of the Board of Management; Chief Executive Officer,Bayer AG,Germany
Liam Condon,President of Bayer Crop Science,Bayer AG,Germany
Stefan Gross-Selbeck,Global Managing Partner,BCG Digital Ventures,Germany
Bernd Hirsch,Chief Financial Officer,Bertelsmann SE & Co. KGaA,Germany
Thomas Rabe,Chief Executive Officer and Chairman of the Executive Board,Bertelsmann SE & Co. KGaA,Germany
Elisabeth (Liz) Mohn,Vice-Chairman of the Executive Board,Bertelsmann Stiftung,Germany
Hans-Paul Bürkner,Chairman,Boston Consulting Group,Germany
Christoph Schweizer,"Chairman, Central and Eastern Europe and Middle East",Boston Consulting Group,Germany
Jacob Hubert Linus Burda,Member of the Administrative Board,Burda Media,Germany
Stephanie Czerny,"Managing Director, DLD Media",Burda Media,Germany
Paul-Bernhard Kallen,Chief Executive Officer,Burda Media,Germany
Martin Weiss,Member of the Executive Board,Burda Media,Germany
Stefan Winners,Member of the Executive Board,Burda Media,Germany
Stefan Schmittmann,Chairman of the Supervisory Board,Commerzbank AG,Germany
Markus Steilemann,Chief Executive Officer,Covestro AG,Germany
Thomas Toepfer,Chief Financial Officer,Covestro AG,Germany
Steffen Klusmann,Editor-in-Chief,Der Spiegel,Germany
Paul Achleitner,Chairman of the Supervisory Board,Deutsche Bank AG,Germany
Sylvie Matherat,Chief Regulatory Officer and Member of the Management Board,Deutsche Bank AG,Germany
Garth Ritchie,"President; Head, Corporate and Investment Bank",Deutsche Bank AG,Germany
Karl von Rohr,Member of the Management Board,Deutsche Bank AG,Germany
Christian Sewing,Chief Executive Officer,Deutsche Bank AG,Germany
Carsten Spohr,Chairman and Chief Executive Officer,Deutsche Lufthansa AG,Germany
Ken Allen,"Chief Executive Officer, DHL Express",Deutsche Post DHL Group,Germany
Frank Appel,Chief Executive Officer,Deutsche Post DHL Group,Germany
Nikolaus von Bomhard,Chairman of the Supervisory Board,Deutsche Post DHL Group,Germany
Melanie Kreis,Chief Financial Officer,Deutsche Post DHL Group,Germany
Thomas Ogilvie,"Member of the Board; Director, Human Resources and Labour",Deutsche Post DHL Group,Germany
Marcus Brennecke,"Partner, Global Co-Head Equity",EQT Partners GmbH,Germany
Noura Berrouba,Member of the Governing Body,European Youth Parliament,Germany
Wilfried Stoll,Managing Partner,Festo AG & Co. KG,Germany
Stephan Gemkow,Chief Executive Officer,Franz Haniel & Cie. GmbH,Germany
Stefan von Holtzbrinck,Chief Executive Officer,Georg von Holtzbrinck GmbH & Co. KG,Germany
Ana Trbovich,Chief Operating Officer,Grid Singularity GmbH,Germany
Daniel Schäfer,"Head, Finance Section",Handelsblatt,Germany
Carsten Knobel,Chief Financial Officer and Member of the Board,Henkel AG & Co. KGaA,Germany
Kathrin Menges,"Executive Vice-President, Human Resources and Infrastructure Services",Henkel AG & Co. KGaA,Germany
Hans Van Bylen,Chief Executive Officer,Henkel AG & Co. KGaA,Germany
Alexander Geiser,Managing Partner,Hering Schuppener Consulting Strategieberatung für Kommunikation GmbH,Germany
Johanna Mair,"Professor of Organization, Strategy and Leadership",Hertie School of Governance,Germany
Jaak Peeters,"Head, Global Public Health",Johnson & Johnson,Germany
Gisbert Rühl,Chief Executive Officer,Klöckner & Co SE,Germany
Klaus Becker,Chief Executive Officer,KPMG,Germany
Matthias Zachert,Chief Executive Officer and Chairman of the Board of Management,LANXESS AG,Germany
Claus Zemke,"Senior Vice-President, Corporate Communication",LANXESS AG,Germany
Joerg Stratmann,Chairman of the Management Board and Chief Executive Officer,MAHLE Group,Germany
Cornelius Baur,"Managing Partner, Germany and Austria",McKinsey & Company,Germany
Solveigh Hieronimus,Partner,McKinsey & Company,Germany
Kai Beckmann,"Chief Executive Officer, Performance Materials; Member of the Executive Board",Merck KGaA,Germany
Belén Garijo,"Chief Executive Officer, Healthcare; Member of the Executive Board",Merck KGaA,Germany
Stefan Oschmann,Chairman of the Executive Board and Chief Executive Officer,Merck KGaA,Germany
Joachim Wenning,Chief Executive Officer,Munich Re,Germany
Ulrich Reitz,"Head, Business News",N-TV,Germany
Ulrich L. Bettermann,President and Chairman of the Board,OBO Bettermann Group,Germany
Jörg Rockenhäuser,"Managing Partner, Germany, Switzerland and Austria",Permira Beteiligungsberatung GmbH,Germany
Harald Kayser,Chairman of the Management Board and Senior Partner,PwC Europe SE,Germany
Peer M. Schatz,Chief Executive Officer,QIAGEN GmbH,Germany
Volkmar Denner,Chairman of the Board of Management,Robert Bosch GmbH,Germany
Oliver Samwer,Founder and Chief Executive Officer,Rocket Internet SE,Germany
Charles-Edouard Bouée,Global Chief Executive Officer,Roland Berger Holding GmbH,Germany
Markus Krebber,Co-Chair of the Board,RWE AG,Germany
Adaire Fox-Martin,Member of the Executive Board,SAP SE,Germany
Bernd Leukert,Member of the Executive Board,SAP SE,Germany
Bill McDermott,Chief Executive Officer,SAP SE,Germany
Peter Herweck,"Executive Vice-President and Chief Executive Officer, Industry Business",Schneider Electric,Germany
Roland Busch,"Member of the Managing Board, Chief Operating Officer and Chief Technology Officer",Siemens AG,Germany
Lisa Davis,"Chief Executive Officer, Global Energy; Member of the Managing Board",Siemens AG,Germany
Klaus Helmrich,Member of the Managing Board,Siemens AG,Germany
Joe Kaeser,President and Chief Executive Officer,Siemens AG,Germany
Cedrik Neike,Member of the Managing Board,Siemens AG,Germany
Jim Hagemann Snabe,Chairman,Siemens AG,Germany
Regine Sixt,"Senior Executive Vice-President, International Marketing",Sixt SE,Germany
Bastian Obermayer,Head of Investigation,Süddeutsche Zeitung,Germany
Caspar Busse,Business Editor,Süddeutsche Zeitung GmbH,Germany
Insa Klasing,Co-Founder and Chief Executive Officer,TheNextWe,Germany
Herbert Diess,Chief Executive Officer,Volkswagen AG,Germany
Andreas Renschler,Member of the Board of Management,Volkswagen AG,Germany
Hiltrud Dorothea Werner,"Head, Integrity and Legal Affairs",Volkswagen AG,Germany
Wolf-Henning Scheider,Chief Executive Officer and Chairman of the Board of Management,ZF Friedrichshafen AG,Germany
Bassim Haidar,Founder and Group Chief Executive Officer,Channel IT,Greece
Tawfic S. Khoury,Executive Vice-Chairman,Consolidated Contractors Company ,Greece
Samer S. Khoury,"President, Engineering and Construction",Consolidated Contractors Company ,Greece
Mittchel Alexandra Benitez Torres,Co-Founder and Impact Chief Officer,Impact Hub Tegucigalpa,Honduras
Richard Folsom,Co-Founder & Representative Partner,Advantage Partners LLP,"Hong Kong SAR, China"
Fred Lam Tin-Fuk,Chief Executive Officer,Airport Authority ,"Hong Kong SAR, China"
Jack So Chak-kwong,Chairman,Airport Authority ,"Hong Kong SAR, China"
Calvin Choi,Chairman and President,AMTD Group,"Hong Kong SAR, China"
Feridun Hamdullahpur,Director of the Board,AMTD Group,"Hong Kong SAR, China"
Francis Leung,"Co-Chairman, Global Advisory Committee",AMTD Group,"Hong Kong SAR, China"
Zhang Yi-Chen,Chairman and Chief Executive Officer,CITIC Capital Holdings Limited,"Hong Kong SAR, China"
John Lindfors,Managing Partner,DST Investment Management Ltd,"Hong Kong SAR, China"
Victor L. L. Chu,Chairman and Chief Executive Officer,First Eastern Investment Group,"Hong Kong SAR, China"
Frank Tang Kui,Chairman and Chief Executive Officer,FountainVest Partners  Limited,"Hong Kong SAR, China"
Laura Cha,Chairman,Hong Kong Exchanges and Clearing Limited ,"Hong Kong SAR, China"
James Fok,"Head, Group Strategy",Hong Kong Exchanges and Clearing Limited ,"Hong Kong SAR, China"
Charles Li,Chief Executive,Hong Kong Exchanges and Clearing Limited ,"Hong Kong SAR, China"
Kevin Sneader,Global Managing Partner,McKinsey & Company,"Hong Kong SAR, China"
Manu Kumar  Situations Investments and Long-Term Macro,"Managing Director; Head, Special",Moore Capital Asia Ltd,"Hong Kong SAR, China"
Jacob Kam Chak-pui  Mainland Business,"Managing Director, Operations and",MTR Corporation Limited,"Hong Kong SAR, China"
Lincoln Leong Kwok-  Kuen,Chief Executive Officer,MTR Corporation Limited,"Hong Kong SAR, China"
Natalie Chan Hiu-Wai,Founder and Chief Executive Officer,OWN Academy,"Hong Kong SAR, China"
Liu Changle,Chairman and Chief Executive Officer,Phoenix Media Investment  Ltd.,"Hong Kong SAR, China"
Carol Yu Ying,Producer and Host,Phoenix Media Investment  Ltd.,"Hong Kong SAR, China"
Kent Ho,Founder and General Partner,S28 Capital,"Hong Kong SAR, China"
"Philippe Delorme  Executive Officer, Building and Information Technology Business",Executive Vice-President and Chief,Schneider Electric,"Hong Kong SAR, China"
Sun Qiang-Chang,Managing Partner,TPG Capital Limited,"Hong Kong SAR, China"
"Christine Hsu  Sponsors Group, Asia-Pacific","Managing Director, Co-Head of Financial",UBS AG,"Hong Kong SAR, China"
Sabrina Chao,Chairman,Wah Kwong Maritime Transport Holdings,"Hong Kong SAR, China"
Gautam Adani,Chairman,Adani Group,India
"Vinay Prakash  Mining, Integrated Coal Management and Bunkering","Director and Chief Executive Officer,",Adani Group,India
Anil Sardana  Officer,Managing Director and Chief Executive,Adani Transmission Limited,India
Jayadev Galla,Vice-Chairman,Amara Raja Group,India
Shobana Kamineni,Executive Vice-Chairperson,Apollo Hospitals Enterprise Ltd,India
Neeraj Kanwar,Vice-Chairman and Managing Director,Apollo Tyres Ltd,India
Vineet Mittal,Chairman,Avaada Group,India
Rajeev Jain,Managing Director,Bajaj Finance Ltd,India
Sanjiv Bajaj,Managing Director,Bajaj Finserv Ltd,India
Baba N. Kalyani,Chairman and Managing Director,Bharat Forge Ltd,India
Amit Kalyani,Executive Director,Bharat Forge Ltd,India
Ajay Vir Jakhar,Chairman,Bharat Krishak Samaj ,India
Tejpreet Singh Chopra,Founder and Chief Executive Officer,Bharat Light & Power ,India
Rajkumar  Duraiswamy,Chairman and Managing Director,Bharat Petroleum Corporation Ltd,India
Sunil Bharti Mittal,Chairman,Bharti Enterprises,India
Rakesh Bharti Mittal,Vice-Chairman,Bharti Enterprises,India
Shereen Bhan,Managing Editor,CNBC-TV18,India
Chandrajit Banerjee,Director-General,Confederation of Indian Industry ,India
Marut Sen Gupta,Deputy Director-General,Confederation of Indian Industry ,India
Puneet Dalmia,Managing Director,Dalmia Bharat Limited,India
Gaurav Dalmia,Chairman,Dalmia Group Holdings,India
Karan Johar,Head,Dharma Productions Private Limited,India
Raul Rai,Member of the Board,Eicher Motors Limited,India
Ravikant Ruia,Founder,Essar,India
Bhuwan Chandra Tripathi,Chairman and Managing Director,GAIL  Limited,India
Sandeep A. Naik,Managing Director,General Atlantic,India
Mallikarjuna Rao Grandhi,Group Chairman,GMR Group,India
Grandhi Kiran Kumar,Corporate Chairman,GMR Group,India
Pirojsha Godrej,Executive Chairman,Godrej Properties Limited,India
Sudarshan Mahajan,Founder and Partner,Gofigito Educorp LLP,India
Arjun Dhawan,Group Chief Executive Officer,HCC Ltd,India
